;Molecule ChEMBL ID;Smiles;Smiles_STAND;Standard Type;Standard Relation;Standard Value;Standard Units
0;CHEMBL3593920;O=C1/C(=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1;O=C1/C(=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1;Ki;'=';1756.7;nM
1;CHEMBL2069430;CNc1ccc(C=C2C(=O)Nc3ccc(I)cc32)cc1;CNc1ccc(C=C2C(=O)Nc3ccc(I)cc32)cc1;Ki;'=';1428;nM
2;CHEMBL3593921;O=C1/C(=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1;O=C1/C(=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1;Ki;'=';1410;nM
3;CHEMBL3593898;CCOC(=O)N1C(=O)/C(=C\c2ccc(N(C)C)cc2)c2ccccc21;CCOC(=O)N1C(=O)/C(=C\c2ccc(N(C)C)cc2)c2ccccc21;Ki;'=';1116.2;nM
4;CHEMBL3593899;CN(C)c1ccc(/C=C2\C(=O)N(Cc3ccccc3)c3ncccc32)cc1;CN(C)c1ccc(/C=C2\C(=O)N(Cc3ccccc3)c3ncccc32)cc1;Ki;'=';858.8;nM
5;CHEMBL3593900;COc1ccc(CN2C(=O)/C(=C\c3ccc(N(C)C)cc3)c3cccnc32)cc1;COc1ccc(CN2C(=O)/C(=C\c3ccc(N(C)C)cc3)c3cccnc32)cc1;Ki;'=';853.5;nM
6;CHEMBL3593895;CN(C)c1ccc(/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1;CN(C)c1ccc(/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1;Ki;'=';797.8;nM
7;CHEMBL3593252;CN(C)c1ccc(/C=C2\C(=O)N(c3ccccc3)c3ccccc32)cc1;CN(C)c1ccc(/C=C2\C(=O)N(c3ccccc3)c3ccccc32)cc1;Ki;'=';789.8;nM
8;CHEMBL3593907;COc1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1;COc1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1;Ki;'=';717.6;nM
9;CHEMBL3593906;O=C1/C(=C\C=C\c2ccccc2)c2ccccc2N1Cc1ccccc1;O=C1/C(=C\C=C\c2ccccc2)c2ccccc2N1Cc1ccccc1;Ki;'=';682.4;nM
