ID_REF,Control_1,Control_2,Control_3,Control_4,Treated_1,Treated_2,Treated_3,Treated_4
1007_s_at,1752.5,986.7,1398.1,1107.1,1539.2,1605.3,4663,1995.4
121_at,810.1,496.3,228.7,619.1,441.9,427.1,324.9,242.6
1316_at,958.5,918.9,531.2,1314.2,1113.7,769.2,1182.8,974.8
1552257_a_at,517.1,691.2,375.6,563.8,216.4,260.1,446.2,291.4
1552264_a_at,1471.4,1408.7,1334.7,1923.2,1451.9,1866.6,823.1,1367.5
1552274_at,393.2,291.2,304.7,520.2,873.1,321.1,574.1,389.7
1552275_s_at,601.2,751.7,339.6,1576,1086.1,645.7,573.1,714.7
1552283_s_at,825.9,310.6,485.5,280.2,372,460,581.9,1140.6
1552287_s_at,199.6,337.9,534.1,448.3,301.5,102.1,509.3,871.9
1552291_at,2012.3,1267,1655.6,509.7,841.8,1469.4,1115.1,1111.7
1552299_at,1975.1,1467.6,1612.6,1644.6,2213.8,2548.8,4342.1,1727.2
1552302_at,874.6,1690.7,2073.2,1645,1071.3,2975.6,1519.7,1238.4
1552306_at,340.3,543.2,616.8,1191.3,640.8,438.3,231.2,340.5
1552320_a_at,510.6,492.2,467.5,402.1,467.7,771,352.4,743.7
1552329_at,198.9,229.8,578.7,245.8,327,335.6,206.7,163.4
1552343_s_at,468.4,691.1,1018.8,358.8,855.1,273.7,1118.2,559.4
1552344_s_at,437,140.2,292.7,368.3,107.2,338,18,414.4
1552370_at,417,56.3,232.5,172.7,239.7,19.8,18.5,120.2
1552383_at,1107.1,345.9,876.2,735.4,339,973.5,620.8,418.6
1552423_at,201.5,248.4,435.1,143.7,237.5,8.1,32.9,142.7
1552426_a_at,10925.3,19587.1,12147,11158.8,8919.2,5220.8,9064.2,16991.3
1552427_at,159.5,245.6,197.5,202.1,97.1,116.5,49,196.4
1552430_at,758.5,627.4,458.9,432.6,320.7,82.3,450,1652.3
1552439_s_at,238.5,179.3,124.4,81.7,313.3,152.7,169.6,253.2
1552440_at,1036.3,102.7,311.2,1802.5,554.4,393,263.1,409.9
1552455_at,273.9,197.3,347.1,258.2,522.7,668.4,338.6,453
1552472_a_at,2351.7,3080.5,2823.7,2788.4,3699.6,2274.3,3198.9,2409.1
1552481_s_at,1311.3,986.9,828.5,391.3,459.4,673,907.5,880.7
1552486_s_at,344.5,295.2,179.3,184.7,293,307.5,358.6,220.3
1552498_at,318.8,108.5,215.1,282.9,368.8,337.4,450.2,407.3
1552502_s_at,631,770.5,292.1,589.6,516.2,677.4,1324.6,771.6
1552519_at,346.7,173.6,301.4,219.2,183.9,181.7,178.8,403.5
1552540_s_at,276.8,476.2,491.5,842.7,815.8,524.2,318.2,379.8
1552562_at,2682,1390.5,2645.3,1903.3,1936.4,1729.5,1486.7,1271.6
1552579_a_at,223.8,390.2,473.2,208.6,250.2,622,549.2,231.7
1552582_at,828.1,64.2,79.6,694.3,60,156.3,66.9,67.3
1552607_at,451.4,33.8,61.3,44.7,9.9,39.9,344,110.8
1552608_at,118.8,138.6,146.9,15.8,14.3,48.9,22.6,60.8
1552610_a_at,1802.1,524.7,592.3,1482.6,737.4,914.1,978.5,361
1552612_at,223.9,1313.6,498.2,7.8,316.9,106.3,122.6,564.3
1552613_s_at,4740.5,3403.3,1589.1,2349.8,1746,1033.9,684.2,2908.6
1552619_a_at,797,452.3,733.7,832.5,1037.3,743.3,1286.4,383.2
1552621_at,801.1,573.8,711.9,1026.5,1902.5,794.3,1457.3,762.7
1552625_a_at,514.1,348.2,776.2,1518.7,1481.3,475.6,587,703.7
1552626_a_at,148.9,188.3,150.4,174.6,177.7,384.7,23.6,145.9
1552627_a_at,892.7,1106.3,875.4,829.3,1882.7,1541.7,970,1175.8
1552643_at,1728.7,1272.8,1751.3,1006.5,1228.7,628.3,1096.7,966.1
1552656_s_at,884.4,926.6,950.1,895.4,550,666.7,334.7,347.6
1552658_a_at,764,1439,1951.6,1462.8,1867.9,1247,1424.9,3103.8
1552660_a_at,301.3,169.5,162.7,51.9,322.7,22.5,231.6,189.5
1552662_a_at,184,271.1,306,157.9,302.4,370.2,9.5,373.9
1552663_a_at,257.9,96.2,248.1,453.3,375.2,282.6,253.4,281.9
1552664_at,7647,8343.6,10422.1,3756.3,5243.3,9713.6,6456.4,3201.8
1552675_at,477.5,469.7,818.3,422,738.4,659,834.7,318.9
1552685_a_at,252.6,164.2,569.5,417.4,192.6,126,219.9,103.1
1552689_at,2374.8,4143.6,4365.5,7064.9,3066.1,5124.8,4216.6,2738.4
1552694_at,16871.4,7690,19713.3,9735.8,2290.7,4044.9,11394.1,13807.3
1552695_a_at,2492,1934.6,2112.2,1165.6,474.5,706.4,1151.5,1559.1
1552696_at,3065.8,2250.6,1628.4,4976.3,2041.4,1517.7,1620.3,1961.8
1552712_a_at,3334.4,5062.8,4723.8,1730,1903.9,1404.5,2304.4,5202.9
1552714_at,2029.7,2202.4,3449,3762.8,1688.4,1648.4,1172.4,4582.2
1552717_s_at,843.3,1019.6,1759.1,1006.2,758,1535.9,739.8,1299.5
1552721_a_at,1217.5,813.1,420.8,443.5,2331.2,1547.9,510.2,1421.5
1552722_at,608.5,246.3,399.5,27,260.4,262.3,114.3,228.8
1552725_s_at,485.5,438.1,419.7,806.5,582.8,815.5,972.3,282.7
1552733_at,187.3,172.3,802.4,310.7,395.3,243.6,469.1,641.5
1552736_a_at,560.2,936.1,773.2,377.8,212.8,35.9,377.9,468.3
1552742_at,459.2,227.2,330.7,192.7,372.3,223.9,168.4,722
1552752_a_at,4061.3,4769.1,4158.6,5330.5,2645.6,2490.8,2572.2,4798.4
1552754_a_at,4250.4,5416.7,4403.6,3195,2525.4,4739.4,1495.5,4984.2
1552755_at,176.1,90.2,24.6,8.5,39.2,18,200.9,55.2
1552758_at,291.2,106,98.6,241.2,15.4,22.9,19,62.1
1552760_at,1085.4,1127.5,909.6,1099.4,780.5,281.8,666,409
1552763_at,185.7,3.1,124.6,124.1,159.4,99.7,136.1,82.5
1552765_x_at,332.3,237.8,254.2,326.3,27.8,273.3,114.5,141.3
1552767_a_at,1279.5,1746.5,386.1,1412.8,155.6,391.6,6.9,1722.1
1552783_at,335,318.7,255.9,17.2,404.1,345.6,219.5,354
1552785_at,243.1,261.7,154.6,674.6,258.2,461,503.9,439.3
1552789_at,3800.5,3085.5,2678.8,427.5,2325.6,5889.9,268.6,3929.4
1552791_a_at,172.6,62.5,20.9,23.6,52.7,179.3,5.8,31.6
1552797_s_at,2353.3,588.9,914.9,936.7,1565.5,1814.2,786.5,692.1
1552822_at,349.1,247.9,345.1,187.6,239.4,173.4,78.8,248.2
1552836_at,449.4,293.1,241.8,437.3,354.1,216.8,221.2,269.3
1552862_at,331.7,507.7,768.7,638.4,1500.2,2849.3,931,934.7
1552879_a_at,306.2,313.7,321.4,259.1,53.9,200.9,347.2,150.3
1552882_a_at,475.2,176.8,412.9,240.2,26.8,600.8,326.2,191.1
1552895_a_at,407.5,331.9,141.3,346.8,52.8,295.7,570.2,227
1552897_a_at,1012.3,682.2,248.7,15.5,420.6,507.8,789,441.5
1552898_a_at,361.3,346.1,138.3,350.7,205.4,1303.5,56.3,240.9
1552912_a_at,164,20.3,13.3,43.8,38,69,98.3,10.5
1552917_at,416.2,35.1,175.4,354.3,322.8,230.9,212.6,118.2
1552922_at,749.1,311,264,69.6,176.7,121.9,612.8,293.1
1552924_a_at,395.1,731.1,680.2,220.2,1125,620.4,133.5,290.9
1552925_at,251.9,295.6,169.6,272.8,804.2,137.9,439,368.5
1552928_s_at,513.1,336.6,385.7,72.7,366.7,230.7,187.2,297.7
1552931_a_at,642.1,519.3,746.1,529.5,951.1,679.2,983.7,970.9
1552940_at,319.5,216.2,319.7,31.9,281,29.5,237.2,456
1552943_at,405.8,410.3,290.8,422.2,952.2,857.3,23.6,664.4
1552957_at,305.5,160.2,707.7,109,412.5,199.7,289.7,295.1
1552961_at,1012.1,456.7,239.6,449.5,655,263.2,1369.3,608.5
1552978_a_at,246.7,784.6,281.1,2091.4,445.2,650,1116.2,846.4
1552980_at,799.9,537.3,507.3,1369.5,680.8,411.5,311.1,417.1
1553013_at,1297.3,883.9,276.9,801.7,267.1,294.3,691.6,1071
1553033_at,327.9,20.3,312.8,195.7,10.2,304.3,11.7,274.3
1553034_at,1523.3,939.8,1424.8,841.6,1851.6,1096.4,1999.3,1354.1
1553048_a_at,1134.5,583.2,475.1,1258.9,299.7,402.5,179.5,352.2
1553063_at,513.5,395.3,541.8,610.9,223.6,355.8,606,151
1553067_a_at,614.4,713.4,474.4,934,533.1,673.3,541.5,606.4
1553101_a_at,934.3,494.3,516,28.1,718.5,1344,2008.1,763.5
1553103_at,1872.4,992.5,1353.9,885.8,2024.1,1600.8,1004.4,1702.7
1553106_at,185.5,85.1,274.7,423.6,97.5,55.8,130.8,146
1553107_s_at,764.6,589.6,708.7,693.5,712.5,1447.6,865.5,970.3
1553108_at,478.1,642.3,496.5,950.1,52.5,381.1,162.2,473.6
1553111_a_at,186.9,89.1,174.4,298.5,134.1,147.4,106.8,179.6
1553112_s_at,608.7,566.2,558.7,636.1,401.3,420.3,1048.5,360.4
1553113_s_at,349.4,659.9,160.3,581.4,121.3,271.4,82.6,117.2
1553114_a_at,368,250.3,180.5,29,306.9,38.1,144,264.9
1553126_a_at,477.1,130.7,477.3,821.1,484.6,355.8,31.4,412.5
1553127_a_at,2358.3,1600.3,1628.7,1283.7,1563.8,1825.2,1367.1,910.4
1553132_a_at,417,113.5,113.3,110.9,283.5,177.9,8.6,178.2
1553133_at,2577,95.1,1291.4,2653,1011.6,1573,674.4,2464.1
1553140_at,499.1,561.5,379.7,821.1,451,1226.1,415.8,843.6
1553141_at,279.3,235.3,345.1,97.7,298.6,161.1,522,173.7
1553142_at,4938.2,1944.3,1005.7,1481,3093,773.3,2239.6,2598.7
1553153_at,229.5,159,164.6,391.8,113,347.9,125.4,144.1
1553155_x_at,266.4,115.8,179.2,54.8,131.6,8,283.3,127.8
1553172_at,1820.3,2167.4,1992.7,3319.2,1549.2,3535.4,3983.8,1607.9
