Gene_Symbol,Uniprot_ID,Polar,Neutral,Hydrophobicity,0-2.78,2.95-4.0,4.03-8.08,4.9-6.2,8.0-9.2,10.4-13.0,0-1.08,0.128-0.186,0.219-0.409,Positive,Neutral,Negative,Buried,Exposed,Intermediate,Helix,Strand,Coil,(-0.20~0.16),(-0.3~ -0.52),(-0.98~ -2.46),High (5-21%),Medium (1.12-3.64%),Low (0-0.83%),High (1.21-2.02),Medium (0.63-1.12),Low (0.14-0.29),High (4-30%) ,Medium (1-3%) ,Low (0-1%) ,High (25-100%) ,Medium (5-18%) ,Low (0-4%) ,High (0.25-11) ,Medium (-0.25 – 0.17) ,Low (-0.3 - -0.8) ,High (1.18-2.07) ,Medium (0.84-1.16) ,Low (0.41-0.8) ,High (0.95-1.8) ,Medium (0.5-0.95) ,Low (0-0.5) ,High (?2.25) ,Medium (1.6-2.3) ,Low (?1.5) ,High  (?1.4) ,Medium (0.79-1.21) ,Low (?0.76) ,High (477-1197) ,Medium (95-423) ,Low (<95) ,Low (75-105),Medium (115-155),High (165-204),(-4.2 - -3.3),(-3.07 – 2.26),(-1.78 - -1.05),>1,1,0,>1,1,0,High (9-65 g/100g) ,Medium (1.14-7.44 g/100g) ,Low (0.048-0.82,Very flexible,Moderately flexible,Less flexible,Target
CER1,O95813,33.75,35,31.25,32.5,46.25,21.25,31.25,30,38.75,23.75,55,21.25,10,78.75,11.25,40,33.75,26.25,58.75,15,26.25,37.5,22.5,40,16.25,73.75,10,26.25,71.25,2.5,27.5,22.5,50,35,15,50,38.75,36.25,25,36.25,38.75,25,31.25,43.75,25,32.5,55,12.5,38.75,50,11.25,43.75,35,21.25,17.5,61.25,21.25,30,33.75,36.25,31.25,62.5,6.25,8.75,47.5,43.75,11.25,47.5,41.25,22.5,32.5,45,1
LTA,P01374,18.75,46.25,35,42.5,37.5,20,35,40,25,30,50,20,8.75,88.75,2.5,50,18.75,31.25,56.25,15,28.75,37.5,17.5,45,22.5,70,7.5,33.75,65,1.25,22.5,15,62.5,21.25,16.25,62.5,25,45,30,26.25,43.75,30,32.5,38.75,28.75,28.75,65,6.25,36.25,48.75,15,42.5,30,27.5,17.5,63.75,18.75,32.5,36.25,31.25,27.5,62.5,10,10,55,35,12.5,52.5,35,13.75,28.75,57.5,1
TP53,P04637,32.5,42.5,25,52.5,33.75,13.75,25,42.5,32.5,32.5,53.75,13.75,3.75,75,21.25,31.25,32.5,36.25,45,12.5,42.5,31.25,23.75,45,20,72.5,7.5,17.5,72.5,10,11.25,35,53.75,31.25,15,53.75,32.5,46.25,21.25,30,50,20,40,46.25,13.75,47.5,38.75,13.75,23.75,51.25,25,23.75,61.25,15,8.75,57.5,33.75,21.25,43.75,35,22.5,71.25,6.25,5,33.75,61.25,10,40,50,23.75,30,46.25,1
TYR,P14679,23.75,40,36.25,48.75,30,21.25,37.5,37.5,25,32.5,46.25,21.25,7.5,85,7.5,47.5,23.75,28.75,37.5,25,37.5,32.5,28.75,38.75,26.25,58.75,15,31.25,63.75,5,17.5,27.5,55,22.5,22.5,55,25,50,25,36.25,31.25,32.5,31.25,45,23.75,42.5,50,7.5,41.25,40,18.75,42.5,35,22.5,12.5,65,22.5,37.5,31.25,31.25,28.75,56.25,15,18.75,48.75,32.5,21.25,48.75,30,15,45,40,1
ADRB2,P07550,21.25,37.5,41.25,40,42.5,17.5,42.5,33.75,23.75,35,47.5,17.5,3.75,88.75,7.5,56.25,21.25,22.5,37.5,35,27.5,38.75,16.25,45,23.75,66.25,10,30,63.75,6.25,16.25,21.25,62.5,22.5,15,62.5,23.75,48.75,27.5,27.5,50,22.5,30,46.25,23.75,28.75,60,11.25,35,56.25,8.75,37.5,47.5,15,11.25,63.75,25,26.25,42.5,31.25,20,63.75,16.25,11.25,48.75,40,15,60,25,13.75,33.75,52.5,1
ENPP1,P22413,33.75,53.75,12.5,58.75,21.25,20,13.75,51.25,35,48.75,31.25,20,15,70,15,45,33.75,21.25,52.5,7.5,40,57.5,21.25,21.25,40,47.5,12.5,53.75,38.75,7.5,20,23.75,56.25,31.25,12.5,56.25,35,56.25,8.75,38.75,50,11.25,35,55,10,32.5,55,12.5,45,42.5,12.5,46.25,43.75,10,20,43.75,36.25,42.5,32.5,25,25,71.25,3.75,3.75,47.5,48.75,6.25,42.5,51.25,28.75,18.75,52.5,1
SDHAF4,Q5VUM1,32.5,41.25,26.25,45,27.5,27.5,26.25,38.75,35,32.5,40,27.5,17.5,70,12.5,35,32.5,32.5,50,15,35,27.5,36.25,36.25,23.75,62.5,13.75,32.5,62.5,5,22.5,33.75,43.75,25,31.25,43.75,35,43.75,21.25,37.5,40,22.5,41.25,40,18.75,33.75,48.75,17.5,41.25,45,13.75,43.75,40,16.25,21.25,55,23.75,42.5,26.25,31.25,36.25,55,8.75,10,45,45,11.25,45,43.75,22.5,38.75,38.75,1
CYP1A1,P04798,18.75,38.75,42.5,37.5,36.25,26.25,43.75,35,21.25,26.25,47.5,26.25,8.75,88.75,2.5,51.25,18.75,30,41.25,27.5,31.25,30,17.5,52.5,22.5,62.5,15,26.25,71.25,2.5,18.75,18.75,62.5,17.5,20,62.5,21.25,43.75,35,30,40,30,37.5,41.25,21.25,37.5,50,12.5,37.5,46.25,16.25,40,40,20,17.5,71.25,11.25,38.75,37.5,23.75,30,55,15,13.75,53.75,32.5,18.75,51.25,30,11.25,37.5,51.25,1
NOD2,Q9HC29,28.75,37.5,33.75,38.75,43.75,17.5,35,32.5,32.5,33.75,48.75,17.5,2.5,77.5,20,47.5,28.75,23.75,51.25,17.5,31.25,32.5,32.5,35,30,58.75,11.25,21.25,73.75,5,12.5,38.75,48.75,32.5,18.75,48.75,32.5,42.5,25,47.5,23.75,28.75,17.5,58.75,23.75,28.75,55,16.25,35,57.5,7.5,38.75,41.25,20,10,62.5,27.5,38.75,17.5,43.75,28.75,65,6.25,15,45,40,17.5,50,32.5,27.5,32.5,40,1
ARMS2,P0C7Q2,20,48.75,31.25,48.75,31.25,20,32.5,45,22.5,38.75,41.25,20,8.75,81.25,10,42.5,20,37.5,42.5,20,37.5,26.25,33.75,40,32.5,60,7.5,30,66.25,3.75,12.5,31.25,56.25,17.5,26.25,56.25,22.5,55,22.5,40,38.75,21.25,27.5,52.5,20,26.25,57.5,16.25,41.25,43.75,15,43.75,38.75,17.5,17.5,61.25,21.25,43.75,26.25,30,33.75,57.5,8.75,7.5,53.75,38.75,12.5,55,32.5,17.5,35,47.5,1
